outcome	maximum_intersection	percentage_intersection	outcome_cluster	outcome_cluster_elements	omeans_cases	omeans_deaths	omeans_mobility	residential_cluster	residential_cluster_elements	rmeans_cases	rmeans_deaths	rmeans_mobility
Cases	45	1.0	cl-12	São Geraldo do Araguaia,Dom Eliseu,Benevides,Óbidos,Conceição do Araguaia,Breu Branco,Santa Maria do Pará,Curionópolis,São Domingos do Araguaia,Ulianópolis,Moju,Rondon do Pará,Juruti,Cametá,Brasil Novo,Ourilândia do Norte,Monte Alegre,Mãe do Rio,Alenquer,Acará,Novo Repartimento,Marituba,Itaituba,São Félix do Xingu,Concórdia do Pará,Uruará,Vigia,Mocajuba,Abaetetuba,Terra Santa,Almeirim,Portel,Rurópolis,Oriximiná,Rio Maria,Anapu,Breves,Igarapé-Açu,Santana do Araguaia,Itupiranga,Jacundá,Novo Progresso,Tucumã,Tailândia,Capitão Poço	2.779087278904506	2.779087278904506	2.994441111527725	cl-17	São Geraldo do Araguaia,Dom Eliseu,Benevides,Óbidos,Conceição do Araguaia,Breu Branco,Santa Maria do Pará,Curionópolis,São Domingos do Araguaia,Ulianópolis,Moju,Rondon do Pará,Juruti,Cametá,Brasil Novo,Ourilândia do Norte,Monte Alegre,Mãe do Rio,Alenquer,Acará,Novo Repartimento,Marituba,Itaituba,São Félix do Xingu,Concórdia do Pará,Uruará,Vigia,Mocajuba,Abaetetuba,Terra Santa,Almeirim,Portel,Rurópolis,Oriximiná,Rio Maria,Anapu,Breves,Igarapé-Açu,Santana do Araguaia,Itupiranga,Jacundá,Novo Progresso,Tucumã,Tailândia,Capitão Poço	2.779087278904506	2.779087278904506	2.994441111527725
Deaths	50	0.5681818181818182	cl-1	Valinhos,Santo André,Santarém,Itapecerica da Serra,Jundiaí,Macaé,Belém,Teresina,Goiânia,Porto Alegre,Taboão da Serra,Sobral,Olinda,Natal,Recife,Rio de Janeiro,Aracaju,Cotia,Florianópolis,Juiz de Fora,Caieiras,Itapevi,Lauro de Freitas,São Paulo,Campinas,Barueri,São Bernardo do Campo,Salvador,Porto Velho,Mogi das Cruzes,Diadema,Belo Horizonte,Niterói,Ilhéus,Campos dos Goytacazes,Vitória,Guarulhos,Osasco,Cuiabá,São Caetano do Sul,Santana de Parnaíba,Ribeirão Pires,Curitiba,Mauá,Itabuna,Santos,Rio das Ostras,Fortaleza,João Pessoa,Rio Branco	0.5038874184081528	0.5038874184081528	9.329325084364454	cl-12	Itapecerica da Serra,Bertioga,Porto Alegre,Taboão da Serra,Alagoinhas,Vassouras,Jaboatão dos Guararapes,Campinas,Porto Velho,Mogi das Cruzes,Diadema,Canoas,São Caetano do Sul,Santos,Parnaíba,Francisco Morato,Paulo Afonso,Santarém,Cariacica,Goiânia,Ananindeua,Pimenta Bueno,Nova Lima,Natal,Viamão,Juiz de Fora,Itapevi,Lauro de Freitas,Simões Filho,Barueri,São Bernardo do Campo,Itabaianinha,Belo Horizonte,Alvorada,Osasco,Fortaleza,Camaçari,João Pessoa,São Raimundo Nonato,Valinhos,Santo André,Belém,Teresina,Caucaia,Sobral,Recife,Rio de Janeiro,Porto Seguro,Aracaju,Cotia,Caieiras,São Paulo,Igarassu,Franco da Rocha,Niterói,Campos dos Goytacazes,Santana de Parnaíba,Curitiba,Picos,Parnamirim,Rio das Ostras,Rio Branco,Bagé,Jundiaí,Macaé,Rio Grande,Olinda,Pelotas,Florianópolis,Leopoldina,Oeiras,Salvador,Esteio,Guaíba,Floriano,Ilhéus,São Lourenço da Mata,Bom Jesus,Vitória,Guarulhos,Mairiporã,Cuiabá,Ribeirão Pires,Mauá,Itabuna,Ilhabela,Gravataí,Maranguape	2.1101691026581495	2.1101691026581495	9.111663172785224
Deaths	87	0.3901345291479821	cl-1	Araçatuba,Ponta Grossa,Itatiba,São Carlos,Jacareí,Guarujá,Itu,Petrópolis,Vila Velha,Itaquaquecetuba,Ferraz de Vasconcelos,São Gonçalo,Contagem,Sapucaia do Sul,Caruaru,Resende,Joinville,São João del Rei,Cáceres,Novo Hamburgo,Bragança Paulista,Vinhedo,Caraguatatuba,Hortolândia,Blumenau,Indaiatuba,Balneário Camboriú,Serra,Anápolis,Araruama,Araraquara,Taubaté,Manaus,São José do Rio Preto,São Sebastião,Piracicaba,Marília,Duque de Caxias,Valença,Botucatu,São Vicente,Londrina,Sumaré,Maringá,Atibaia,Governador Valadares,Sorocaba,Volta Redonda,Maceió,Foz do Iguaçu,Salto,Passo Fundo,Uberlândia,Barbacena,Peruíbe,Cubatão,Barra Mansa,Boa Vista,Ribeirão Preto,Paulista,Paulínia,Santa Maria,Teresópolis,São Luís,Nilópolis,Mossoró,Caxias do Sul,Nova Friburgo,Votorantim,Aparecida de Goiânia,Bauru,Carapicuíba,Macapá,Uberaba,Dracena,Betim,Divinópolis,Bento Gonçalves,São José,Americana,Cabo Frio,Limeira,Campo Grande,Curvelo,Nova Iguaçu,Santa Isabel,Itaboraí	0.7408178970543154	0.7408178970543154	7.103909209624661	cl-11	Araçatuba,Estância Velha,Ponta Grossa,Itatiba,Itapema,Jequié,Tubarão,São Carlos,Mucuri,Jacareí,Congonhas,Guarujá,Jaraguá,Registro,Montenegro,Barão de Cocais,Estância,Campos do Jordão,São Pedro,Itu,Petrópolis,Campina Grande do Sul,Santiago,Lavras,Santa Cruz do Sul,Santo Antônio de Jesus,Vila Velha,Itaquaquecetuba,Sete Lagoas,Pedreira,Ipueiras,Ferraz de Vasconcelos,São Gonçalo,Cajamar,Cataguases,Ipojuca,Contagem,Santa Luzia,Quirinópolis,Sorriso,Limoeiro do Norte,Sapucaia do Sul,Caruaru,Lagarto,Brotas,Resende,Castanhal,Joinville,São João del Rei,Cáceres,Novo Hamburgo,Timóteo,Bragança Paulista,Vinhedo,São Leopoldo,Caraguatatuba,Hortolândia,Uruguaiana,Frutal,Sento Sé,Teófilo Otoni,Blumenau,Jaguariúna,Indaiatuba,Balneário Camboriú,Aracruz,Serra,Anápolis,Rio Bonito,Viradouro,Campo Limpo Paulista,Cachoeiro de Itapemirim,Belford Roxo,Cabreúva,Serrinha,Araruama,Nova Odessa,Araraquara,Taubaté,Corumbá,Manaus,São José do Rio Preto,São Sebastião,Conselheiro Lafaiete,Pacatuba,Piracicaba,Marília,Sapiranga,Maracanaú,Catalão,Duque de Caxias,Campo Verde,Osório,Baixo Guandu,Ibaté,Caicó,Itanhaém,Águas Lindas de Goiás,Itapeva,Valença,Botucatu,Várzea Paulista,Olímpia,Caçapava,Montividiu,São Vicente,Londrina,Vitória da Conquista,Sumaré,Gramado,Crato,Maringá,Ibirité,Atibaia,Embu-Guaçu,Cabo de Santo Agostinho,Governador Valadares,Várzea Grande,Ribeirão das Neves,Lagoa Santa,Sorocaba,Volta Redonda,Guaratinguetá,Riachão do Jacuípe,Capela,Maceió,Foz do Iguaçu,Formiga,Leme,Salto,Guararema,Canindé de São Francisco,Angra dos Reis,Saquarema,Passo Fundo,Uberlândia,Jarinu,Barbacena,Peruíbe,Cubatão,Jaboticabal,São Borja,Petrolina,Teixeira de Freitas,Lucas do Rio Verde,Barra Mansa,São Felipe,Jandira,Itararé,Assis,Garanhuns,Barreiras,Valparaíso de Goiás,Boa Vista,Suzano,Fernandópolis,Ribeirão Preto,Aparecida,Arujá,Montes Claros,Paulista,Paulínia,São Roque,Itupeva,Santa Maria,Teresópolis,São Luís,Canela,Ubatuba,Nilópolis,Mossoró,Nossa Senhora do Socorro,Paranaguá,Tupã,Parobé,Caxias do Sul,Orlândia,Paraíba do Sul,Tramandaí,Nova Friburgo,Votorantim,Aparecida de Goiânia,Bauru,João Monlevade,Eunápolis,Ponte Nova,Carapicuíba,Poços de Caldas,Macapá,Uberaba,Dracena,Maricá,Irecê,Torres,Campina Grande,Betim,Divinópolis,Itabirito,Poá,Feira de Santana,Caldas Novas,Bento Gonçalves,Santo Antônio de Goiás,São José,Camaquã,Luziânia,Americana,Januária,Cabo Frio,Três Corações,Limeira,Campo Largo,Guarapari,Campo Grande,Barra do Piraí,Carinhanha,São Lourenço,Curvelo,Nova Iguaçu,Franca,Santa Isabel,São Cristóvão,Itaboraí	2.199500290808779	2.199500290808779	7.05561429260804
Deaths	48	0.24	cl-13	Cachoeira do Sul,São Joaquim da Barra,Naviraí,Araguari,Caratinga,Tietê,Batatais,Santa Fé do Sul,Serrana,Araucária,Telêmaco Borba,São Luís de Montes Belos,Rio das Pedras,Chapadão do Sul,Jacarezinho,Juazeiro,Joaçaba,Goianésia,Lagoa da Prata,Jataí,Biguaçu,Cornélio Procópio,São José do Rio Pardo,Santa Rosa,Promissão,Formosa,Pará de Minas,Taquarituba,Janaúba,Pederneiras,Vargem Grande do Sul,Itumbiara,Presidente Epitácio,Guaíra,Paraguaçu Paulista,Alfenas,Novo Gama,São João da Boa Vista,Espírito Santo do Pinhal,São José dos Pinhais,Ijuí,Porto Ferreira,Patrocínio,Toledo,Coronel Fabriciano,Osvaldo Cruz,Rolândia,Rio Verde	2.0968999106910875	2.0968999106910875	5.23919392888389	cl-0	Criciúma,Mari,Barbalha,Araguari,Martinópolis,Boituva,Barreiros,Santa Fé do Sul,Telêmaco Borba,Teutônia,Garibaldi,Tianguá,Pindamonhangaba,Jacarezinho,Laguna,Pedras de Fogo,Guaxupé,Barretos,Andradina,Amparo,Aguaí,Pouso Alegre,Itaí,Vacaria,Pomerode,Ivoti,Santo Ângelo,Cajazeiras,Lagoa da Prata,São Manuel,Araripina,Salto de Pirapora,Campo Mourão,Rio Bananal,São José do Rio Pardo,Monte Carmelo,Artur Nogueira,Jaraguá do Sul,Santa Helena de Goiás,Serra Negra,Catanduva,Ubá,Pará de Minas,Altamira,Nova Venécia,Sooretama,Apucarana,Ituverava,Novo Horizonte,Andradas,São João da Boa Vista,Espírito Santo do Pinhal,Adamantina,Porto Ferreira,Patrocínio,Guarabira,Planaltina,São Francisco do Sul,Iguatu,São Joaquim da Barra,Ponta Porã,Bariri,Marechal Floriano,Marau,Cascavel,Caratinga,Porto Feliz,Monte Alto,Louveira,São Luís de Montes Belos,Rio das Pedras,Avaré,Santa Bárbara d'Oeste,Jales,Mococa,Araranguá,Bebedouro,Porangatu,Barra Bonita,Goianésia,Santa Izabel do Oeste,Jataí,Tangará da Serra,Carazinho,Mairinque,Santa Rosa,Agudos,Três Coroas,Jaguaré,Itapetininga,Afonso Cláudio,Jaú,Lins,Matão,Senhor do Bonfim,Presidente Epitácio,Guaíra,Itajaí,Rio dos Cedros,Paraguaçu Paulista,Canápolis,Arapiraca,Araguaína,Bayeux,São José dos Pinhais,Itaperuna,Coronel Fabriciano,Aragarças,Cosmópolis,Videira,Tatuí,Cachoeira do Sul,São Mateus,Ipatinga,Tietê,Catolé do Rocha,Batatais,Araucária,Penápolis,Erechim,Varginha,Chapadão do Sul,Imbituba,Patos,Juazeiro,Colatina,Joaçaba,Parauapebas,Ibiúna,Campo Novo do Parecis,Ourinhos,Dourados,Araras,Iporá,Formosa,Umuarama,São Sebastião da Grama,São Mateus do Sul,Casa Branca,Janaúba,Lajeado,Farroupilha,Vargem Grande do Sul,Guarapuava,Extrema,Santa Cruz do Rio Pardo,Torrinha,Novo Gama,Inhumas,Mogi Guaçu,Sertãozinho,Presidente Prudente,Ijuí,Castro Alves,Senador Canedo,Alfredo Chaves,Itaguaí,Rolândia,Rio Verde,Naviraí,Estrela,Lençóis Paulista,Cabedelo,Serrana,Álvares Machado,Arealva,Cruzeiro do Oeste,Primavera do Leste,Lages,Pirassununga,Cruzeiro,Muriaé,Palmas,Tanabi,Sabará,Ibitinga,Biguaçu,Cornélio Procópio,Promissão,Araçuaí,Picuí,Hidrolândia,Manhuaçu,Taquarituba,Pederneiras,Charqueada,Garça,Itumbiara,Socorro,Alfenas,Guamaré,Toledo,Pato Branco,Linhares,Junqueirópolis,Osvaldo Cruz,Chapecó,Sapé,Nova Mutum,Itabaiana	2.494710437317711	2.494710437317711	5.314788338957632
Deaths	31	0.33695652173913043	cl-11	Caxias,Zé Doca,Colinas,Campestre,Itapecuru Mirim,São João dos Patos,Balsas,Barra do Bugres,Bacabal,Porto Real,Barreirinhas,Barra do Corda,Conchal,Grajaú,Viana,Paraí,Açailândia,Porciúncula,Malacacheta,Lago da Pedra,Juína,Vitória do Mearim,São José de Ribamar,Bom Sucesso,São Raimundo das Mangabeiras,Codó,Presidente Dutra,Coroatá,Goianésia do Pará,Itambacuri,Santa Inês	5.745771072061162	5.745771072061162	5.903574754768557	cl-16	Zé Doca,Moreno,Mateus Leme,Barcarena,Touros,Campestre,Pirapora,São João dos Patos,Paraíso do Tocantins,Quixeramobim,Carpina,Patos de Minas,Brumadinho,Macaíba,Grajaú,Aquidauana,Rondonópolis,Açailândia,Lago da Pedra,Três Rios,São José de Ribamar,Codó,Alegrete,Gravatá,Candeias,Arcoverde,Timon,Itapecuru Mirim,Barra do Garças,Vitória de Santo Antão,Bacabal,Três Lagoas,Oliveira,Barra do Corda,Conchal,Piumhi,Três Pontas,Paraí,Santa Rita,Américo Brasiliense,Araxá,Tucuruí,Vitória do Mearim,Itajubá,Itapipoca,Japeri,São Joaquim de Bicas,Bezerros,Votuporanga,Juazeiro do Norte,João Pinheiro,Balsas,Barreirinhas,Ituiutaba,Canaã dos Carajás,Paragominas,Limoeiro,Santana,Imperatriz,Marabá,Porciúncula,Juína,Salgueiro,Coroatá,Camaragibe,Capão Bonito,Casimiro de Abreu,Aracati,Goianésia do Pará,Crateús,Itambacuri,Caxias,Colinas,Gurupi,Trindade,Serra Talhada,Barra do Bugres,Pesqueira,Porto Real,Mariana,Viana,Sarandi,Malacacheta,São Sebastião do Paraíso,Itabira,Bom Sucesso,Unaí,Presidente Dutra,Passos,Visconde do Rio Branco,São Raimundo das Mangabeiras,Santa Inês	3.5659174944256087	3.5659174944256087	5.945457157529221
Deaths	53	0.49074074074074076	cl-10	Afogados da Ingazeira,Santa Bárbara,Cuité,Buriti Alegre,Indiara,Nova Esperança,Sousa,Alagoa Grande,Alagoa Nova,Niquelândia,Rio Pardo,Serra Branca,Itanhandu,Castelo,Goiatuba,Princesa Isabel,Assaí,Chã Preta,São Gabriel do Oeste,Ingá,Goianira,Goiás,Santa Rita do Sapucaí,Tabatinga,Cajuru,Pirenópolis,Itaperuçu,Morro Agudo,Jaguariaíva,Bela Vista de Goiás,Rio Tinto,Almenara,Edéia,Bom Jesus de Goiás,Ceres,Canavieiras,Bom Conselho,Campos Belos,Acreúna,Solânea,São Bento,Cristalina,Alhandra,Pires do Rio,São Miguel Arcanjo,Queimadas,Mamanguape,Seabra,Pilar,Cocalzinho de Goiás,São Sebastião do Caí,Conceição da Feira,Itapuranga	4.036034467662633	4.036034467662633	4.4025942511903	cl-3	Afogados da Ingazeira,Jucurutu,Indiara,Sumé,Alagoa Grande,Apodi,Princesa Isabel,Santa Cruz das Palmeiras,São Gabriel do Oeste,Canguaretama,Tabatinga,Guapimirim,Morro Agudo,Piracaia,Pau dos Ferros,Bela Vista de Goiás,Almenara,Rio Largo,Edéia,Barra de São Francisco,Santa Teresa,Presidente Venceslau,Paranavaí,Itaberaí,Vitorino Freire,Chapadinha,Cristalina,Pires do Rio,São Miguel Arcanjo,Queimadas,Mamanguape,Porto Franco,Cocalzinho de Goiás,Alegre,Itapuranga,Cuité,Nova Cruz,Itápolis,Nova Esperança,Sousa,São José de Mipibu,Camocim,Cândido Mota,São Gabriel da Palha,Itanhandu,Goiatuba,Chã Preta,Areia Branca,Goiás,Cajuru,Rancharia,Pitangueiras,Currais Novos,Pirenópolis,Coxim,Bom Conselho,Santa Rita de Cássia,Campos Belos,Acreúna,Taquari,São Bento,Regente Feijó,Santa Juliana,Ceará-Mirim,São Miguel,São Miguel dos Campos,Santa Rita do Sapucaí,Santa Bárbara,Buriti Alegre,Santana do Ipanema,Paracatu,Alexânia,Rio Pardo,Castelo,Assaí,Ingá,Goianira,Jaguariaíva,Ibiporã,Uruaçu,Solânea,Alhandra,Praia Grande,Cafelândia,Eugenópolis,Pilar,Cachoeiras de Macacu,Palmeira dos Índios,São Sebastião do Caí,Cambé,Cachoeirinha,Alagoa Nova,Niquelândia,Serra Branca,Nerópolis,Itaperuçu,Alto do Rodrigues,Rio Tinto,Santa Cruz,Bom Jesus de Goiás,Simão Dias,Ceres,Canavieiras,Conselheiro Pena,Seabra,Nanuque,São Luiz Gonzaga,Conceição da Feira	3.790521238591166	3.790521238591166	4.5845892527323
Deaths	44	0.33587786259541985	cl-0	Girau do Ponciano,São José da Laje,Porto Calvo,Aparecida do Taboado,Caconde,Jardim Alegre,Penedo,Iguatemi,Pão de Açúcar,Quedas do Iguaçu,Sonora,Junqueiro,Terenos,Maragogi,Cassilândia,Brasilândia,Teotônio Vilela,Piratininga,Rio Brilhante,Jaguaruana,Delmiro Gouveia,Murici,União dos Palmares,Mirandópolis,Terra Boa,Ivinhema,Fátima do Sul,Itaporã,Colorado,Pontal,Itapuí,Monteiro,Ladário,Igarapava,Nova Santa Rosa,Várzea Alegre,Marechal Deodoro,Flórida Paulista,Tupi Paulista,Guará,Santo Augusto,Guia Lopes da Laguna,Costa Rica,Rio Branco do Sul	2.268302058963892	2.268302058963892	2.4242019463476154	cl-2	Alto Araguaia,Posse,Girau do Ponciano,São José da Laje,Porto Calvo,Aparecida do Taboado,Tapurah,Aripuanã,Cidade Ocidental,Sonora,Orizona,Maragogi,Cassilândia,Teotônio Vilela,Goianinha,Barrinha,Mirandópolis,Confresa,Formoso do Araguaia,Colina,Pontal,Sinop,Guará,Panorama,Costa Rica,Santo Antônio,Araguatins,Alta Floresta,Piranhas,Caconde,Jardim Alegre,Miracema do Tocantins,Mirassol d'Oeste,Quedas do Iguaçu,Caiapônia,Guaranésia,Brasnorte,Rio Brilhante,Ipuã,Fátima do Sul,Caçu,Santo Antônio do Descoberto,Macatuba,Cajobi,Nova Santa Rosa,Marechal Deodoro,Colíder,Caraúbas,Santo Augusto,Dianópolis,Rialma,Nova Xavantina,Rio Branco do Sul,São Paulo do Potengi,Capinópolis,Guapó,Augustinópolis,Penedo,Três Passos,Brasilândia,Piratininga,Corumbaíba,Colinas do Tocantins,Jaguaruana,Extremoz,Sanclerlândia,Divinolândia,Murici,União dos Palmares,Palmeiras de Goiás,Piracanjuba,Tenente Portela,Colorado,Peixoto de Azevedo,Itapuí,Araputanga,Altinópolis,Rubiataba,Flórida Paulista,Itaobim,Ipameri,Vianópolis,Itapaci,Guaraí,Guia Lopes da Laguna,Itirapina,Diamantino,Juara,Ervália,Itatinga,Ribas do Rio Pardo,Iguatemi,São José dos Quatro Marcos,Borborema,Pão de Açúcar,Valparaíso,Silvânia,Junqueiro,Ituporanga,Terenos,Apiaí,Canarana,Santa Rosa de Viterbo,São José do Rio Claro,Taguaí,Anicuns,Delmiro Gouveia,João Câmara,Pedro Afonso,Terra Boa,Nobres,Colniza,Goianápolis,Ivinhema,Itaporã,Pontes e Lacerda,Eldorado,Campos de Júlio,Monteiro,Água Boa,Ladário,Igarapava,Macau,Várzea Alegre,Cachoeira Alta,Tupi Paulista,Encantado,Campinorte,Rio Claro,Jussara,Jardim de Piranhas	2.5314282080076036	2.5314282080076036	2.624950697956647
Deaths	31	0.2897196261682243	cl-4	Rolim de Moura,Sumidouro,Manacapuru,Armação dos Búzios,Paudalho,Viçosa,Nova Mamoré,Portão,Cacoal,Iguaba Grande,Passira,Tocantinópolis,Ouro Preto do Oeste,Prata,São Miguel do Guaporé,Ji-Paraná,Santo Antônio do Monte,Palmares,Taquara,Cachoeira Paulista,Mesquita,Bom Jardim,Sarzedo,Jaru,Rosário do Sul,São João da Barra,Buritis,Miguel Pereira,Caçapava do Sul,São Francisco do Guaporé,Colorado do Oeste	3.7744948801943368	3.7744948801943368	5.254811495337277	cl-14	São Lourenço do Sul,Charqueadas,Rolim de Moura,Horizontina,Pinheiro,Campo Bom,Piraju,Manacapuru,Frederico Westphalen,Vicência,Viçosa,Santo Antônio do Tauá,Cacoal,Imbé,São Miguel do Guaporé,Oiapoque,Palmares,Dom Pedrito,Capão da Canoa,Taquara,Bom Jesus do Itabapoana,Bonito,Acaraú,Araçariguama,São Gabriel,Sarzedo,Jaru,Pacajá,Ilha Solteira,Iguaba Grande,Colorado do Oeste,Presidente Médici,Itapissuma,Itamogi,Nova Prata,Cruzeiro do Sul,Querência,Barra do Ribeiro,Itapira,Coruripe,Ouro Preto do Oeste,Ji-Paraná,Flores da Cunha,Carangola,São Miguel do Guamá,Mesquita,Cruz Alta,Tabira,Rosário do Sul,Santo Cristo,São João da Barra,Xinguara,Buritis,Água Preta,Tomé-Açu,Vila Rica,Capelinha,Santa Vitória do Palmar,São Gonçalo do Amarante,Armação dos Búzios,Bandeirantes,Piraí,Além Paraíba,Bragança,Portão,Nova Andradina,Condado,Passira,Santo Antônio da Patrulha,Santo Antônio do Monte,Laranjal do Jari,Santa Cruz do Capibaribe,Cachoeira Paulista,Bom Jardim,Igarapé-Miri,Porto Nacional,Salto do Jacuí,Caçapava do Sul,Monte Alegre de Minas,Guararapes,São Francisco do Guaporé,Palmeira das Missões,Ariquemes,Sumidouro,Igrejinha,Paudalho,Humaitá,Mutum,Tuparendi,Nova Mamoré,Jaciara,Guajará-Mirim,Ouro Fino,Tocantinópolis,Prata,Boa Esperança,Vilhena,Campina Verde,Salinópolis,Pedreiras,Descalvado,Italva,Dois Irmãos,Magé,Miguel Pereira,Taquaritinga,Itaguara	3.689801913353984	3.689801913353984	5.2455764291145845
