dimension	cluster	cluster_elements	means_cases	means_deaths	means_mobility
Cases	cl-9	Nova Bassano,Charqueadas,Serra,São Francisco de Paula,Ribeirão Preto,Itatiba,Piratini,Pereiro,Viçosa do Ceará,Ubajara,Sobral,Independência,Massapê,Rio de Janeiro,Duque de Caxias,Itabuna,Tijucas,Anápolis,Itaguaí,Sumaré,Tatuí,Canguçu,Monsenhor Tabosa,Pouso Alegre,Teresina,Butiá,Nova Santa Rita,Limeira,Atibaia,Jaraguá do Sul,Sapucaia do Sul,Arroio do Tigre,São Gonçalo,Quaraí,Morrinhos,Araraquara,Salto,Itaqui,Marília,Arcoverde,Itu,Mauá,Nova Iguaçu,Petrópolis,Arroio do Sal,Capão do Leão,Diadema,Santo André,Marco,Quixadá,Cambé,Fortim,Frederico Westphalen,Morada Nova,Mogi Guaçu,Hortolândia,Senador Pompeu,Pentecoste,São José,Teresópolis,Belém,Indaiatuba,Trindade,Guarulhos,Pinheiro Machado,Lençóis Paulista,Assaré,Balneário Camboriú,Tabuleiro do Norte,Terra de Areia,Jaguarão,Carapicuíba,Horizonte,Pindamonhangaba,Jardim,Três Lagoas,Fortaleza,Santa Rita,Veranópolis,Eldorado do Sul,Bauru,Votuporanga,Cerquilho,Barreira,Resende,Londrina,Divinópolis,Itapira,Paulista,Novo Oriente,Santa Isabel,Parauapebas,Porto Velho,Aquiraz,Uberlândia,São Caetano do Sul,São Benedito,Taubaté,Morro Reuter,Paraipaba,Ponta Grossa,Macaé,Uberaba,Recife,Presidente Prudente,Jacareí,Dom Pedrito,Trairi,Itajaí,Dois Irmãos,Guarujá,Santana de Parnaíba,Sobradinho,Santa Quitéria,Entre-Ijuís,Santa Cruz do Rio Pardo,Itajubá,Marabá,Barra Mansa,Barueri,Missão Velha,Criciúma,Feliz,Praia Grande,Sertãozinho,Pariquera-Açu,Igrejinha,Assis,Aurora,Santana do Acaraú,Votorantim,Blumenau,Crateús,Campos dos Goytacazes,Contagem,Montes Claros,Caruaru,Altamira,São Carlos,Bela Cruz,Macapá,Venâncio Aires,Triunfo,Santos,Catanduva,Manaus,Balneário Pinhal,Nilópolis,Iracema,Vitória,Irauçuba,Angatuba,Nova Petrópolis,Cianorte,Sorocaba,Bento Gonçalves,Campo Grande,Santo Antônio da Patrulha,Redenção,Jundiaí,Governador Valadares,Lauro de Freitas,Mogi das Cruzes,Cruz Alta,Vinhedo,Carlos Barbosa,São Francisco de Assis,Barretos,Rio Branco,Guaiúba,Valença,Maringá,Jucás,Caieiras,Constantina,Betim,Rio das Ostras,Belo Horizonte,Frecheirinha,Tapes,Jaú,Joinville,Bragança Paulista,Descalvado,Santarém,Maceió,Araricá,Crissiumal,Belford Roxo,Barão,Goiânia,Itarema,Itapetininga,Taboão da Serra,Guararapes,Brusque,São Luís,Forquilha,Varginha,Caraguatatuba,Roca Sales,Mossoró,São Bernardo do Campo,Florianópolis,Rio Claro,Araçatuba,Granja,Dourados,Palmeira das Missões,Cubatão,Nova Andradina,Aparecida de Goiânia,Cedro,Americana,Cesário Lange,Barbalha,Piracicaba,Itapevi,Jaguaribe,Vacaria,Panambi,Varjota,Quixeramobim,Cruz,Chapecó,Nova Russas,Itapecerica da Serra,Itaitinga,Foz do Iguaçu,Campo Mourão,Cascavel,Niterói,Amontada,São José do Rio Preto,Agudo,Candeias,Caxias do Sul,Uruburetama,Itaboraí,Paulínia,Arroio do Meio,Júlio de Castilhos,São Sebastião,Capanema,São João del Rei,Pirassununga,Novo Hamburgo,Cotia,Restinga Sêca,Barro,Braço do Norte,Passo Fundo,Porto Alegre,Curitiba,Barbacena,Ferraz de Vasconcelos,Salvador,Cuiabá,Nova Hartz,Lagoa Vermelha,Reriutaba,João Pessoa,Natal,Cerqueira César,Botucatu,Imperatriz,Nova Friburgo,Quixeré,Juazeiro do Norte,Guaraciaba do Norte,Itaquaquecetuba,Icó,Jijoca de Jericoacoara,Campos Sales,São Paulo,Volta Redonda,Patos de Minas,Ribeirão Pires,Campinas,Lavras da Mangabeira,Cidreira,Aracaju,Juiz de Fora,Araguaína,Valinhos,Socorro,Araranguá,Santa Maria,Russas,Osasco,Três Cachoeiras,Piedade	-0.01622532824865956	-0.21091021885662156	5.0256224607198074
Cases	cl-1	Passos,Paracambi,Surubim,São João da Barra,Tanguá,Divino,Peruíbe,Ribeirão,Itapipoca,Queimados,Extrema,Bodocó,São Marcos,Lagoa do Carro,São José da Lapa,Horizontina,Aperibé,Engenheiro Paulo de Frontin,Quatis,Poço Fundo,Itaocara,Escada,Ipaussu,São Caitano,Soledade,Iguatu,Lagoa dos Gatos,Sirinhaém,Sinop,Santo Antônio de Pádua,Cabrobó,Nova Mutum,Caucaia,Toritama,Espumoso,Serra Talhada,Areal,Betânia,Macaparana,Ibiapina,Lajedo,São José do Egito,Três de Maio,Pombos,Abreu e Lima,Seberi,Palmital,Vila Velha,Bezerros,Giruá,São José da Coroa Grande,Novo Cruzeiro,Esmeraldas,Tauá,Custódia,Flores da Cunha,Mendes,Carapebus,Armação dos Búzios,Salgueiro,Carmo,Silva Jardim,Cambuci,Ouro Fino,Sananduva,Floresta,Chã Grande,Tapejara,Marau,Camocim de São Félix,Beberibe,Mangaratiba,Paty do Alferes,Feira Nova,Itambé,Bonito,Catende,Rio Formoso,Santa Maria da Boa Vista,Jaboatão dos Guararapes,Iacanga,Cajamar,Arujá,Guapimirim,São José do Belmonte,Paudalho,Monte Santo de Minas,Cabo de Santo Agostinho,Timbaúba,Monte Mor,Guaraí,Poá,Franco da Rocha,Guaporé,Mesquita,Miguel Pereira,Bom Retiro do Sul,Camaragibe,Saquarema,Francisco Sá,Garanhuns,Nova Prata,Cantagalo,Buíque,Taquara,Arroio Grande,Canhotinho,Queluz,Brejo Santo,Moreno,Nova Ponte,Limoeiro,Seropédica,Altinho,Dianópolis,Cupira,São Pedro da Aldeia,Santo Antônio do Monte,Santa Cruz do Capibaribe,Itatiaia,Taquaritinga do Norte,Iguaba Grande,Sapucaia,Campo Bom,Mombaça,Capão Bonito,Cravinhos,São Francisco de Itabapoana,Aliança,Araçoiaba,Riacho das Almas,Valparaíso de Goiás,Vertentes,São Lourenço da Mata,Ipubi,Canindé,Portão,Orobó,Cruzeiro,Francisco Morato,Comendador Levy Gasparian,São Mateus,Miracema do Tocantins,Cacoal,Castanhal,Tianguá,São Bento do Una,Icapuí,Tamandaré,Lorena,Suzano,Exu,Leme,Cachoeiras de Macacu,Nazaré da Mata,Sanharó,Petrolândia,Agrestina,Aracati,Olinda,Parintins	2.1661774364564206	2.1365553829730373	3.785182830407069
Cases	cl-10	Petrolina,Lages,São Miguel do Iguaçu,Sarandi,Sengés,Manhuaçu,Linhares,Fátima do Sul,Aparecida do Taboado,Camaçari,Nova Alvorada do Sul,Campinorte,Estrela,Pelotas,Campo Formoso,Ituporanga,Santa Luzia,Adamantina,Bandeirantes,São Sebastião do Paraíso,Ilhéus,Deodápolis,Buritama,Caratinga,Porto Nacional,Itatinga,Posse,Teutônia,Orizona,Piraju,Mococa,Erechim,Primavera do Leste,Ladário,Itaquiraí,Rio Grande,Paiçandu,Teófilo Otoni,Toledo,Barra do Garças,Umuarama,Rio Verde de Mato Grosso,São Gabriel,Alfenas,Campo Largo,Navegantes,Mineiros,Guarapuava,Pontal,Mariana,Francisco Beltrão,Rubiataba,Rancharia,Ourinhos,Caiapônia,Gaspar,Palotina,Caldas Novas,Santa Bárbara d'Oeste,Montenegro,Santo Ângelo,Campo Limpo Paulista,Corumbaíba,Jussara,Gravataí,Ubatuba,Laranjal Paulista,Bela Vista,Bagé,Lajeado,Biguaçu,Américo Brasiliense,Lins,Cruzeiro do Sul,Cachoeiro de Itapemirim,Sanclerlândia,Içara,Alegrete,Araripina,Crato,Coronel Fabriciano,Cruzília,Pirapora,São João da Boa Vista,Goioerê,Rio Branco do Sul,Ituiutaba,Nossa Senhora do Socorro,Pinheiro,Torres,Barra do Piraí,São Miguel do Oeste,Terra Boa,Vitória da Conquista,Bariri,Feira de Santana,Cachoeirinha,Conselheiro Lafaiete,Várzea Alegre,Cassilândia,Agudos,Caconde,Colorado,São Lourenço,Boa Vista,Anastácio,São Cristóvão,Paranaíba,Mundo Novo,Água Clara,Monte Alto,Campina Grande,Vianópolis,Nova Santa Rosa,São Vicente,Taquaritinga,Jequié,Ubá,Três Corações,Colatina,Araruama,Macaíba,Pau dos Ferros,Sorriso,Guia Lopes da Laguna,Cornélio Procópio,Chapadão do Sul,Curvelo,Jaguariúna,Maricá,Itanhaém,Guará,Cabreúva,São Francisco do Sul,Gurupi,Ilha Solteira,Farroupilha,Rio Bonito,Olímpia,Itabaiana,Sete Lagoas,Capão da Canoa,Salto de Pirapora,Arapongas,Guaratinguetá,Bertioga,Guariba,Visconde do Rio Branco,Pojuca,Rio Verde,Itapaci,Leopoldina,Vespasiano,Caçapava,Santiago,Nova Odessa,Batatais,Ervália,Ijuí,Colíder,Maracanaú,Muriaé,Iguatemi,Araruna,Janaúba,Cajazeiras,Boituva,Ponta Porã,Patrocínio,Guaranésia,Louveira,Campos do Jordão,Pato Branco,Registro,Rondonópolis,Cosmópolis,Estância,Sonora,Araçariguama,São José do Rio Pardo,Cataguases,Juazeiro,Santo Antônio da Platina,Corumbá,Cidade Ocidental,Rio Brilhante,Avaré,Ibitinga,Promissão,Santa Rosa de Viterbo,Caçador,Assis Chateaubriand,Lagarto,Barra Bonita,Teixeira de Freitas,Glória de Dourados,Paranaguá,Carangola,Itabira,Garibaldi,Ipameri,Porto Murtinho,Dracena,Encantado,Itaobim,Caarapó,Ituverava,Espírito Santo do Pinhal,Angra dos Reis,Tucumã,Tubarão,Timbó,Ji-Paraná,Cabo Frio,Santo Antônio do Descoberto,Angélica,Batayporã,Palmas,Além Paraíba,Porto Feliz,Paranavaí,Guararema,Mairiporã,Itaperuna,Campina Grande do Sul,Santo Antônio do Sudoeste,Ipatinga,Quedas do Iguaçu,Guaxupé,Catalão,Patos,Cáceres,Camapuã,Ibirité,Mirandópolis,São José dos Pinhais,Tupaciguara,Lagoa da Prata,Embu-Guaçu,Maravilha,Costa Rica,Terenos,Joaçaba,Naviraí,Apucarana,Borborema,Coxim,Araras,Jales,Canoas,Poços de Caldas,Rio do Sul,São Gonçalo do Amarante	0.9141074941765965	0.7836069448505462	4.765054442305383
Cases	cl-6	Bom Sucesso,Bacabal,Sento Sé,Baixo Guandu,Rio Bananal,Guamaré,Canguaretama,Viana,Catolé do Rocha,Presidente Dutra,Itambacuri,Porto Real,Arealva,Castro Alves,Itaí,Bom Jesus do Itabapoana,São Gabriel da Palha,Vila Rica,Cajuru,Eugenópolis,Vitória do Mearim,Congonhas,Balsas,Barra do Corda,Caxias,Touros,Jucurutu,Vicência,Grajaú,Mutum,Barão de Cocais,Chapadinha,Brotas,Malacacheta,Mari,Pimenta Bueno,Cruzeiro do Oeste,Cabedelo,Presidente Médici,Itaguara,Junqueirópolis,Santo Antônio de Goiás,Edéia,Codó,Campina Verde,São Sebastião da Grama,Porciúncula,Riachão do Jacuípe,Nova Venécia,Quirinópolis,Lago da Pedra,Bom Jardim,Rio dos Cedros,Boa Esperança,São João dos Patos,Jarinu,Santa Rita de Cássia,Aragarças,Coruripe,Acreúna,Barreirinhas,Cafelândia,Picuí,Goianésia do Pará,Itabaianinha,Itapecuru Mirim,Alto do Rodrigues,Ibaté,Torrinha,São Felipe,Assaí,Canápolis,Zé Doca,Santa Inês,Juína,Carinhanha,Bom Jesus,Ipueiras,Itabirito,Chã Preta,Charqueada,Aguaí,Vitorino Freire,Bayeux,Jaraguá,São José de Ribamar,Jaboticabal,Pedras de Fogo,Hidrolândia,Campestre,Colinas,Simão Dias,São Raimundo das Mangabeiras,Oeiras,Açailândia,Conchal,Capela,Sooretama,Alfredo Chaves,Barra de São Francisco,Santa Juliana,Santa Izabel do Oeste,Nanuque,Sapé,São Miguel,Coroatá,Itamogi,São Raimundo Nonato,Jaguaré,Barra do Bugres,Canindé de São Francisco,Montividiu,Marechal Floriano,Rio Tinto,Monte Alegre de Minas,Alegre,Paraí,Sumé,Viradouro,Mucuri,Conselheiro Pena,Araçuaí	5.546222609225762	5.541826383241835	5.838511835610715
Cases	cl-5	São Miguel do Guaporé,Paranapanema,Cuité,Álvares Machado,São Joaquim de Bicas,Queimadas,Indiara,Marechal Deodoro,Barreiros,Xaxim,Bataguassu,Nova Esperança,Ouro Preto do Oeste,Alagoa Nova,Ribas do Rio Pardo,Conchas,Ceará-Mirim,Eldorado,Prata,Aimorés,Niquelândia,Mata de São João,Piraí,Água Boa,Canelinha,Jardim de Piranhas,Piraquara,Serra Negra,Bela Vista de Goiás,Campo Alegre,Goiás,Rolim de Moura,Caraúbas,Piratininga,Caçu,Agrolândia,São Miguel Arcanjo,Nonoai,Várzea Paulista,Buritis,São Manuel,Alumínio,Itanhandu,Massaranduba,Guarabira,Goianinha,Cocalzinho de Goiás,Silvânia,Alhandra,Miranda,Itaporã,São Bento,Sousa,Novo Gama,São Roque,Morro Agudo,Orleans,Ingá,Santa Bárbara,Fraiburgo,Ivinhema,Camboriú,Porangatu,Piranhas,Girau do Ponciano,Goianira,Mamanguape,Campos Belos,São Mateus do Sul,São Paulo do Potengi,João Câmara,Jaguaruana,Serra Branca,Santa Cruz,Jaru,Canavieiras,Conceição da Feira,Guapó,São José de Mipibu,Viçosa,Planaltina,Tapera,Getúlio Vargas,Cachoeira Alta,Goiatuba,Paraíso do Norte,Pedra Azul,Itapuranga,Flórida Paulista,Camocim,Santo Antônio,São José da Laje,Pão de Açúcar,São Francisco do Conde,Delmiro Gouveia,Rio Largo,Panorama,Inhumas,Pirenópolis,Palmeiras de Goiás,Tupi Paulista,Pilar,Macatuba,Brasilândia,Mateus Leme,Turvo,Buriti Alegre,Extremoz,Solânea,Santa Helena,Colorado do Oeste,Palmeira dos Índios,Cristalina,Nova Mamoré,Junqueiro,Maragogi,Alagoa Grande,Piracanjuba,Goianápolis,Orlândia,Ilhabela,Uruaçu,Concórdia,Frutal,Jaguariaíva,Rio Pardo,Armazém,Areia Branca,Ibiúna,Teotônio Vilela,Penedo,Pesqueira,Castelo,Currais Novos,Paraíso do Tocantins,Apodi,Capelinha,Murici,Igarapava,São Francisco do Guaporé,Sabará,Tabatinga,Santa Rita do Sapucaí,Antônio Prado,Itaperuçu,Videira,Ceres,Iporã do Oeste,Porto Calvo,Passira,Presidente Getúlio,Almenara,Monte Carmelo,Macau,Capinópolis,Anicuns,Senhor do Bonfim,Monteiro,Três Coroas,Itaiópolis,Canoinhas,Simões Filho,Princesa Isabel,Nova Cruz,Iporá,Rialma,São Gabriel do Oeste,Vilhena,Xanxerê,Bom Jesus de Goiás,Andradas	3.4268360814763223	3.4124292560729215	4.211931512946845
Cases	cl-11	Dionísio Cerqueira,Ilha Comprida,Cordeirópolis,Itajobi,Pirajuí,Ariranha,Luís Antônio,Rosana,Paraibuna,Rio Negrinho,General Salgado,Boa Esperança do Sul,Santo Anastácio,Tuparendi,Pardinho,Mirassol,Piracaia,Potirendaba,Capivari,Santa Branca,Urubici,São Pedro do Sul,Jaboticatubas,Barrinha,Ibirá,Cerro Largo,Presidente Venceslau,Monte Azul Paulista,Mongaguá,Bady Bassitt,Tapiratiba,Campos Novos,Tabapuã,Unaí,Chapada,São José do Norte,Pinheiral,Araporã,Abelardo Luz,Vera Cruz,Rinópolis,Rio Grande da Serra,Pradópolis,Bom Princípio,Bocaina,Cajati,Santa Cecília,Itaberá,Bom Jesus dos Perdões,Lucélia,Duartina,Jaci,Santa Rita do Passa Quatro,Não-Me-Toque,Palmares do Sul,Pindorama,Auriflama,Parapuã,Ibirubá,Bernardino de Campos,Nova Granada,Patrocínio Paulista,Nova Aliança,Ipiguá,Santa Vitória do Palmar,Santa Adélia,Monte Aprazível,Salto do Jacuí,Guaraciaba,Ibirama,Iracemápolis,Otacílio Costa,Pirangi,Guareí,Palestina,Dumont,Araquari,Balneário Barra do Sul,São Lourenço do Oeste,São Lourenço do Sul,Urussanga,Cardoso,Taió,Rincão,Iperó,José Bonifácio,Jardinópolis,Juquitiba,São José do Cedro,Nova Europa,Pirapozinho,Barra do Ribeiro,Candelária,Luiz Alves,Vargem Grande Paulista,Urânia,Ribeirão Branco,Pouso Redondo,Itapiranga,Águas de Lindóia,Fartura,Bálsamo,Belo Jardim,Bofete,Uchoa,Laguna,Serafina Corrêa,Coronel Freitas,Herval d'Oeste,Andradina,Presidente Bernardes,Pereira Barreto,Dourado,Águas da Prata,Campo Erê,Colina,Bombinhas,Severínia,Barra Velha,Nhandeara,Quilombo,Oliveira,Mirante do Paranapanema,Iguape,Chavantes,Miguelópolis,Cedral,São Joaquim,Salesópolis,Ribeirão Bonito,Cajobi,Pinhalzinho,Pilar do Sul,São Sepé,Pacaembu,Jacinto Machado,Eusébio,Bebedouro,Valentim Gentil,Pirapora do Bom Jesus,João Pinheiro,Engenheiro Coelho,Getulina,Buri,Casca,Conceição das Alagoas,Estrela d'Oeste,Joanópolis,Mostardas,Sombrio,Faxinal dos Guedes,Sete Barras,Ouroeste,Ouro Branco,Itaporanga,Araxá,Itá,Altinópolis,Cunha Porã,Irani,Tupanciretã,Maracaí,Nazaré Paulista,Luzerna,Herculândia,São Simão,Itariri,Rolante,Penha,Pitangueiras,Itapoá,Tamboril,Acopiara,Salvador do Sul,Garuva,Guaramirim,Corupá,Palmares Paulista,Bastos,Guapiaçu,Trombudo Central,Encruzilhada do Sul,Brumadinho,Igaratá,Conceição de Macabu,Palmitos,Salto Grande	1.6691785263491734	1.6558548052932796	2.0847097321390984
Cases	cl-0	Ipanema,Passa Quatro,Paraguaçu,Cambuí,Antônio Carlos,Piumhi,Carmo do Rio Claro,Penápolis,Rio Piracicaba,São Roque de Minas,Nepomuceno,Santa Maria de Itabira,Teixeiras,Maria da Fé,Boa Viagem,Corinto,Alpinópolis,Serro,Padre Paraíso,Caldas,São João Evangelista,Matozinhos,Barroso,Cássia,Águas Formosas,Alterosa,Caxambu,Vazante,Ibiraci,Alvinópolis,Turmalina,Paraisópolis,Bom Despacho,Bocaiúva,São Gonçalo do Rio Abaixo,Elói Mendes,Cristais,Guapé,Rio Pomba,São Domingos do Prata,Medina,Bicas,Matias Barbosa,Itaúna,Carmópolis de Minas,Belo Oriente,Sacramento,São Gotardo,Monte Sião,Resplendor,Borda da Mata,Arcos,Campanha,Dores do Indaiá,Várzea da Palma,Cláudio,Três Marias,Salinas,Itupeva,Inhapim,Iturama,Dois Córregos,Raul Soares,Espinosa,Jaíba,São Gonçalo do Sapucaí,Lambari,Carmo do Paranaíba,Jacutinga,Campo Belo,Itamonte,Mauriti,Botelhos,Coração de Jesus,Porteirinha,Diamantina,Perdizes,Araguari,Fronteira,Minas Novas,Caetanópolis,Prados,Tupã,Martinho Campos,Ouricuri,Japeri,Carlos Chagas,Entre Rios de Minas,Mantena,Itaú de Minas,Matão,Monte Azul,Pedro Leopoldo,Rio Acima,Lagoa Formosa,Felixlândia,Amparo,Areado,Jequitinhonha,Juruaia,Juatuba,Pedralva,São João Nepomuceno,Brasília de Minas,Mar de Espanha,Campos Altos,Baependi,Manhumirim,Nova Serrana,Estiva,Carmo de Minas,Resende Costa,Capitólio,Ouro Preto,Coromandel,Camanducaia,Igarapé,Rio Paranaíba,Guanhães,Nova Era,Pirapetinga,Abaeté,Pompéu,Casimiro de Abreu,Nova Resende,Serra do Salitre,Caeté,Lima Duarte,Cambuquira,Machado,Congonhal,Conceição do Mato Dentro,Muzambinho,Perdões,Santos Dumont	1.8791594438949644	1.867375161483074	2.361070838367426
